Molecule ChEMBL ID,MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles (RDKit Mol)
CHEMBL3663927,0.8064285714285715,0.6094285714285714,0.3291428571428571,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)c(N4CCN(C)CC4)c3)c(C(N)=O)nc2CC)c1,IC50,'=',1.2,nM,CHEMBL3638445, 
CHEMBL3663929,0.809,0.5,0.311,C=CC(=O)N1CC[C@@H](Oc2nc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)cc3)c(C(N)=O)nc2CC)C1,IC50,'=',1.7,nM,CHEMBL3638445, 
CHEMBL3663930,0.8219375,0.4965624999999998,0.32325,C=CC(=O)Nc1cccc(Oc2nc(Nc3cnn(C4CCN(C)CC4)c3)c(C(N)=O)nc2C(C)C)c1,IC50,'=',1.3,nM,CHEMBL3638445, 
CHEMBL3663931,0.805625,0.545125,0.3245,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)[C@@H](C)C4)cc3)c(C(N)=O)nc2CC)c1,IC50,'=',1.2,nM,CHEMBL3638445, 
CHEMBL3663932,0.805625,0.545125,0.3245,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)[C@H](C)C4)cc3)c(C(N)=O)nc2CC)c1,IC50,'=',0.56,nM,CHEMBL3638445, 
CHEMBL3797606,0.8212857142857143,0.5641428571428572,0.362,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2SC)c1,IC50,'=',0.4,nM,CHEMBL3797107, 
CHEMBL3797963,0.817,0.531,0.286,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(S(C)(=O)=O)CC4)cc3OC)ncc2SC)c1,IC50,'=',7.3,nM,CHEMBL3797107, 
CHEMBL3798501,0.812,0.614,0.415,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2SC)c1,IC50,'=',0.7,nM,CHEMBL3797107, 
CHEMBL3798887,0.803,0.453,0.286,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C(=O)C(C)C)CC4)cc3OC)ncc2SC)c1,IC50,'=',3.6,nM,CHEMBL3797107, 
CHEMBL4080433,0.9027272727272728,0.7650181818181818,0.889018181818182,C=CC(=O)Nc1cc(Nc2nccc(-n3ncc4ccccc43)n2)c(OC)cc1N(C)CCN(C)C,IC50,'>',600.0,nM,CHEMBL4052618, 
CHEMBL4170033,0.843086956521739,0.6034130434782607,0.362304347826087,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-c3ccn(C)n3)n2)c(OC)cc1N1CCN(C)CC1,IC50,'>',1000.0,nM,CHEMBL4152247, 
CHEMBL4175782,0.8787115384615386,0.6510769230769233,0.5010192307692307,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-c3ncn(C)n3)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',7.7,nM,CHEMBL4152247, 
CHEMBL4173470,0.8180000000000001,0.5652903225806452,0.3585161290322581,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3nccn3)n2)c(OC)cc1N1CCC(N(C)C)CC1,IC50,'=',202.3,nM,CHEMBL4152247, 
