Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles (RDKit Mol)
CHEMBL4213741,C=CC(=O)N1CC[C@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,Ki,'=',164.0,nM,CHEMBL4177539,
CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',12.92,nM,CHEMBL4177590,
CHEMBL4214035,COc1ccc(-c2c3c4cc(OC)c(OC)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'>',1000.0,nM,CHEMBL4177688,
CHEMBL4206193,COc1ccc(-c2c3c4cc(OC)c(OCCCN(C)C)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'=',188.3,nM,CHEMBL4177688,
CHEMBL4216798,COc1ccc(-c2c3c4cc(OCCCN5CCOCC5)c(OCCCN5CCOCC5)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'>',1000.0,nM,CHEMBL4177688,
CHEMBL4213519,COc1ccc(-c2c3c4cc(OC)c(OCCN(C)C)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'=',559.8,nM,CHEMBL4177688,
CHEMBL301226,COc1ccc(-c2c3c4cc(OC)c(O)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'>',1000.0,nM,CHEMBL4177688,
CHEMBL4218447,COc1ccc(-c2c3c4cc(O)c(OC)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'=',396.7,nM,CHEMBL4177688,
CHEMBL4211835,COc1ccc(-c2c3c4cc(OCCCN(C)C)c(OCCCN(C)C)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'=',8.9,nM,CHEMBL4177688,
CHEMBL4215397,COc1ccc(-c2c3c4cc(OC)c(OCCCNC(=N)N)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'=',39.0,nM,CHEMBL4177688,
CHEMBL4217913,COc1ccc(-c2c3c4cc(OCCN(C)C)c(OC)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'>',1000.0,nM,CHEMBL4177688,
CHEMBL4210550,COc1ccc(-c2c3c4cc(O)c(OCCCN(C)C)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'=',82.6,nM,CHEMBL4177688,
CHEMBL4205688,COc1ccc(-c2c3c4cc(OCCN(C)C)c(OCCN(C)C)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'=',232.9,nM,CHEMBL4177688,
CHEMBL4216281,COc1ccc(-c2c3c4cc(OC)c(OCCNC(=N)N)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,IC50,'>',1000.0,nM,CHEMBL4177688,
CHEMBL4090601,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc4ccccc4c3)c3c(N)ncnc32)C1,IC50,'=',88.0,nM,CHEMBL4184160,
CHEMBL4207984,N#Cc1ccc(O)c(-c2nc(NCc3cccnc3)c3ccccc3n2)c1,IC50,'=',23.0,nM,CHEMBL4184160,
CHEMBL4214567,O=C(Nc1nccs1)C(c1cc(F)ccc1O)N1Cc2ccccc2C1=O,IC50,'=',3.0,nM,CHEMBL4184160,
CHEMBL4094959,C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(C)c4ccccc34)c3c(N)ncnc32)C1,IC50,'=',838.0,nM,CHEMBL4184160,
CHEMBL1328065,Oc1ccccc1-c1nc(NCc2cccnc2)c2ccccc2n1,IC50,'=',149.0,nM,CHEMBL4184160,
CHEMBL4214588,COC(=O)c1ccc(O)c(-c2nc(NCc3cccnc3)c3ccccc3n2)c1,IC50,'=',46.0,nM,CHEMBL4184160,
CHEMBL4218431,N#Cc1ccc(O)c(-c2nc(NCc3cnccn3)c3ccccc3n2)c1,IC50,'=',17.0,nM,CHEMBL4184160,
CHEMBL4206716,CN1CCN(c2ccc(Nc3cc4c(N5CCCCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,IC50,'=',45.0,nM,CHEMBL4196024,
CHEMBL4215080,CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccc(F)cc5F)nc4cn3)nc2)CC1,IC50,'=',53.6,nM,CHEMBL4196024,
CHEMBL4212884,CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,IC50,'=',62.2,nM,CHEMBL4196024,
CHEMBL4217992,CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,IC50,'=',54.1,nM,CHEMBL4196024,
CHEMBL4208673,CN1CCN(c2nc(Nc3ccc(F)cc3)nc3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cn4)cc23)CC1,IC50,'=',34.8,nM,CHEMBL4196024,
CHEMBL4209019,CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCC(CO)CC5)nc(Nc5ccc(F)cc5)nc4cn3)nc2)CC1,IC50,'=',34.0,nM,CHEMBL4196024,
CHEMBL4206288,CN1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,IC50,'=',56.2,nM,CHEMBL4196024,
CHEMBL4206166,CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCC(CO)CC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,IC50,'=',3.2,nM,CHEMBL4196024,
CHEMBL4215076,CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccc(F)cc5)nc4cn3)nc2)CC1,IC50,'=',28.0,nM,CHEMBL4196024,
CHEMBL4209801,CN1CCN(c2ccc(Nc3cc4c(N5CCCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,IC50,'=',85.0,nM,CHEMBL4196024,
CHEMBL4203001,CN(CCO)c1nc(Nc2ccccc2)nc2cnc(Nc3ccc(N4CCC(N(C)C)CC4)cn3)cc12,IC50,'=',51.3,nM,CHEMBL4196024,
