Molecule ChEMBL ID,Smiles (RDKit Mol),MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles
CHEMBL3903707, ,0.5833333333333334,0.28865979381443296,0.5789473684210527,IC50,'=',650.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2Cl)c1
CHEMBL4066569,,0.952,0.929,0.974,IC50,'=',60.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)nc(C)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4861707, ,0.6296296296296297,0.2857142857142857,0.7105263157894737,IC50,'=',68.81,nM,CHEMBL4831496,CN1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)NO)n3)cc2)CC1
CHEMBL4103912,,0.954,0.953,0.974,IC50,'=',0.07,nM,CHEMBL4411272,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4069277,,0.938,0.771,0.857,IC50,'=',385.5,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C(C)=O
CHEMBL3919271, ,0.5945945945945946,0.27,0.5789473684210527,IC50,'=',650.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC)c3OC)ncc2Cl)c1
CHEMBL4279227, ,0.927536231884058,0.5212765957446809,0.9736842105263158,IC50,'=',0.5,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4579805, ,0.8648648648648649,0.37272727272727274,0.9736842105263158,IC50,'=',923.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3954684, ,0.581081081081081,0.27184466019417475,0.5789473684210527,IC50,'=',20.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2C(F)(F)F)c1
CHEMBL4468034, ,0.9142857142857143,0.5591397849462365,0.9736842105263158,IC50,'=',177.0,nM,CHEMBL4411272,CC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4439632, ,0.8904109589041096,0.45454545454545453,0.9736842105263158,IC50,'=',10.0,nM,CHEMBL4411272,C=C(Cl)C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3954273, ,0.5921052631578947,0.26732673267326734,0.5789473684210527,IC50,'=',65.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Br)c1
, ,0.7971014492753623,0.48863636363636365,0.8421052631578947,,,,,,COc1cc(N(C)CCN(C)C)ccc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL4441606,,0.836,1.0,1.0,IC50,'=',6.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C
CHEMBL4557772, ,0.8904109589041096,0.5376344086021505,0.9736842105263158,IC50,'=',6.0,nM,CHEMBL4411272,C=C(F)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4294211, ,0.9014084507042254,0.8,0.9473684210526315,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCOCC2)CC1
CHEMBL4098967,,0.91,0.673,0.592,IC50,'=',1.9,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CCC(CN(C)C)C1
CHEMBL4535047, ,0.8648648648648649,0.35964912280701755,0.9736842105263158,IC50,'=',360.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccc(F)cc23)n1
CHEMBL4282543, ,0.9166666666666666,0.7831325301204819,0.8157894736842105,IC50,'=',0.4,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCN(C)CC1
